vehicle_id,date,is_booked,tmv,category_grouped,demand_supply_ratio,price
333483,2018-05-25,0,14569,midsize,1.902318048385464,30.0
304273,2018-05-12,1,4201,compact,14.62283105022831,39.0
298081,2018-04-07,1,5724,midsize,8.659707724425887,24.0
406331,2018-12-31,1,39102,suv,13.570389953734303,121.0
456223,2018-08-09,0,9666,midsize,1.2974525474525473,42.0
508104,2019-02-19,1,5148,suv,4.303872053872054,38.0
497131,2019-01-28,0,3875,compact,6.839137645107795,25.0
174075,2018-09-10,0,5669,midsize,6.784256559766764,27.0
333483,2018-06-16,0,14569,midsize,1.8729164659408422,26.0
405192,2018-09-05,0,18802,suv,0.8902173913043478,60.0
466729,2018-10-24,0,26808,van,5.7838736492103076,65.0
406331,2018-11-10,0,39102,suv,5.6717752234993615,87.0
304273,2018-05-27,1,4201,compact,19.406511627906976,42.0
406331,2018-11-20,0,39102,suv,5.412564766839378,87.0
405192,2018-08-04,1,18802,suv,1.7787685060565277,40.0
326416,2019-03-02,0,12762,suv,8.120689655172415,40.0
302205,2018-02-28,1,19525,compact,7.79178605539637,38.0
234096,2018-03-10,0,12149,midsize,11.585664335664335,60.0
391074,2018-12-18,1,8275,midsize,4.732105263157894,10.0
391074,2018-10-31,1,8275,midsize,5.069900332225914,29.0
428355,2019-01-24,0,22008,suv,0.7566280474802758,78.0
456223,2018-09-01,0,9666,midsize,1.609494519359672,52.0
300476,2018-04-20,1,6353,suv,6.284380833851898,29.0
302205,2018-02-22,1,19525,compact,7.950428979980934,32.0
238765,2018-07-27,1,18150,compact,10.06678180771445,40.0
234096,2018-03-26,0,12149,midsize,8.708936170212766,59.0
302205,2018-09-01,1,19525,compact,9.069734004313444,31.0
326416,2018-10-28,1,12762,suv,5.147078135259356,40.0
426430,2018-08-22,1,7115,midsize,7.777963272120201,30.0
333483,2018-06-05,0,14569,midsize,1.2000194193611031,24.0
405192,2019-02-27,1,18802,suv,0.8540570479091665,70.0
426430,2018-07-31,1,7115,midsize,8.445205479452055,33.0
448045,2018-11-09,0,27993,van,5.638326585695006,89.0
289235,2018-04-14,0,17755,midsize,1.4952033368091762,55.0
405192,2019-02-14,1,18802,suv,1.0168499717992103,60.0
426430,2018-05-31,1,7115,midsize,10.145067698259188,29.0
326416,2018-10-01,0,12762,suv,3.9368005266622776,40.0
333483,2019-02-11,0,14569,midsize,0.8423329147481512,40.0
304273,2018-04-11,0,4201,compact,9.863519313304721,38.0
456223,2018-08-18,0,9666,midsize,1.6539563047213812,42.0
302205,2019-01-13,1,19525,compact,4.824085750315258,28.0
302205,2019-01-06,0,19525,compact,4.682219419924338,20.0
426430,2018-08-27,1,7115,midsize,8.092561983471075,30.0
233590,2018-03-14,0,7484,suv,5.5591572123176665,46.0
428355,2019-02-07,0,22008,suv,0.7891422974674689,85.0
405192,2018-07-13,1,18802,suv,1.7788195374587017,68.0
448045,2018-11-17,0,27993,van,4.874485596707819,89.0
233590,2018-04-05,0,7484,suv,5.809294871794871,46.0
238765,2018-11-14,0,18150,compact,4.186386477843764,39.0
333483,2018-03-13,0,14569,midsize,0.9883632408917891,24.0
289235,2018-05-06,0,17755,midsize,1.5879120879120878,55.0
456223,2018-09-17,0,9666,midsize,0.9494106842185825,52.0
174075,2018-06-20,1,5669,midsize,11.692439862542955,34.0
300476,2018-09-29,0,6353,suv,4.289575289575289,37.0
406331,2018-12-14,0,39102,suv,6.0,87.0
238765,2018-09-22,1,18150,compact,8.102576808721507,38.0
388325,2018-07-08,1,8941,compact,10.70390625,39.0
234096,2018-03-16,0,12149,midsize,10.693436960276339,60.0
233590,2018-02-08,0,7484,suv,4.840531561461794,41.0
497131,2019-02-21,0,3875,compact,7.450381679389313,25.0
333483,2018-03-20,0,14569,midsize,0.9429065743944637,24.0
535905,2019-01-25,1,7857,upscale,6.27248322147651,25.0
333483,2018-07-06,0,14569,midsize,1.9590797490224607,25.0
426430,2018-09-12,1,7115,midsize,5.405750798722044,30.0
406331,2018-10-22,0,39102,suv,5.2543391188251,90.0
448045,2018-09-06,0,27993,van,5.567123287671233,109.0
406331,2018-08-06,1,39102,suv,12.624193548387098,120.0
298081,2018-11-13,1,5724,midsize,3.949470252648737,28.0
302205,2019-01-30,1,19525,compact,4.011083743842365,25.0
289235,2018-08-17,0,17755,midsize,1.538556395922394,55.0
416371,2018-06-12,0,38115,suv,7.6369426751592355,69.0
238765,2018-03-14,1,18150,compact,12.005380476556494,40.0
391074,2019-01-24,1,8275,midsize,8.588915043869035,29.0
456223,2019-01-30,0,9666,midsize,0.6915808771682415,52.0
174075,2018-09-20,0,5669,midsize,6.712912087912088,27.0
391074,2018-05-29,1,8275,midsize,7.68824328916072,24.0
298081,2018-09-23,1,5724,midsize,6.803205699020481,24.0
174075,2018-05-04,1,5669,midsize,6.398782343987824,34.0
405192,2019-02-02,1,18802,suv,1.0082748948106592,80.0
289235,2018-09-11,0,17755,midsize,0.8334992724209236,55.0
497131,2018-09-17,0,3875,compact,9.493934142114385,30.0
233590,2018-08-29,1,7484,suv,8.331369661266569,32.0
326416,2018-09-12,0,12762,suv,3.9261744966442955,40.0
405192,2018-11-06,0,18802,suv,0.7614209591474245,50.0
388325,2018-10-02,0,8941,compact,4.43481228668942,41.0
174075,2018-07-21,1,5669,midsize,18.771186440677965,34.0
416371,2018-06-21,1,38115,suv,11.698988195615515,69.0
487863,2018-09-11,0,10850,upscale,0.8058387395736794,32.0
238765,2018-09-03,1,18150,compact,9.145085803432137,40.0
289235,2018-05-29,0,17755,midsize,1.2432080200501252,55.0
238765,2018-12-01,1,18150,compact,5.858027632205812,36.0
416371,2018-10-16,0,38115,suv,4.781563126252505,111.0
326416,2018-05-07,0,12762,suv,5.370728083209509,40.0
426430,2018-11-14,0,7115,midsize,4.23583460949464,30.0
497131,2019-01-30,1,3875,compact,5.90359477124183,25.0
233590,2018-05-13,0,7484,suv,6.545736434108528,49.0
326416,2018-09-27,0,12762,suv,4.622615803814714,40.0
333483,2018-03-10,0,14569,midsize,1.3179297597042514,24.0
238765,2018-05-06,1,18150,compact,13.487750556792873,40.0
405192,2019-01-01,1,18802,suv,1.3740729753782261,80.0
